variant,success_rate,collision_rate,final_dist_mean,final_dist_p90,ep_length_mean,delta_u2_mean,return_mean,n
vanilla,1.0,0.0,0.38407262079417703,0.4975693851709366,104.5,0.017278740112669767,73.49413757106609,40
flyada_alpha0,1.0,0.0,0.4080685626715422,0.497816663980484,108.25,0.04106759550049901,72.84581378236251,40
flyada_frozen_after_10,1.0,0.0,0.4147140894085169,0.49901028275489806,113.325,0.03676358461380005,72.56275693498354,40
flyada_full,0.95,0.0,0.3989558844827116,0.4973531782627106,123.575,0.03896967368200421,66.72360345697822,40
