variant,success_rate,collision_rate,final_dist_mean,final_dist_p90,ep_length_mean,delta_u2_mean,return_mean,n
vanilla,0.0,0.025,3.1336730450391768,4.122108364105225,391.7,0.15453968644142152,-129.26887370837636,40
flyada_alpha0,0.0,0.025,2.3480233535170556,3.3337841033935547,399.85,0.033364992635324595,-120.47695263887665,40
flyada_frozen_after_10,0.0,0.0,3.327099134027958,5.1259819030761715,400.0,0.07183505594730377,-170.0233206960232,40
flyada_full,1.0,0.0,0.3929976984858513,0.4976525604724884,109.4,0.025124340131878854,72.75001991251028,40
